week,Chattisgarh,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Odisha,Punjab,Rajasthan,Tripura,Uttar Pradesh,Uttrakhand,West Bengal
w1,2600,2041.666667,2500,3250,2600,1875,4240,1250.25,2800,1450,1975,3233.333333,2271.666667,2175,3316.666667
w2,2366.666667,2125,2500,2700,2600,1683.333333,4460,1356,2800,1358.333333,2228.571429,2400,2145,2066.666667,2912.5
w3,2100,1762.5,2100,2471.428571,2625,1483.333333,5250,950,2750,1290.833333,2020,2357.142857,2112.5,1930,2662.5
w4,2200,1841.666667,1841.666667,2820,2440,1500,5350,1038.333333,2800,1266.666667,1791.666667,2371.428571,2065,1962.5,2620
w5,NA,1841.666667,2033.333333,3066.666667,1875,1300,5533.333333,882.8571429,2800,1400,1550,2316.666667,1862.5,2320,2583.333333
w6,2233.333333,2500,2100,3400,2216.666667,1466.666667,7150,730,NA,730,NA,2741.666667,1958.333333,2360,2683.333333
w7,1783.333333,1416.666667,1833.333333,2625,2000,1220,6683.333333,NA,NA,1200,1900,2320,1818.333333,1887.5,2058.333333
w8,1183.333333,1240,1550,2187.5,1900,866.6666667,6566.666667,2000,2800,900,1521.428571,2271.428571,1841.666667,2200,1689.285714
